experiment,participant_id,trial_id,trial_order,phase_id,stimulus_left,stimulus_right,response,response_side,condition_raw,device,age,gender,rt_measure
EXP2,2,exp2_t4,4,judgment,evidente,serbatoio,evidente,left,1,mouse,20.0,M,keypress
EXP2,2,exp2_t5,5,judgment,magnifico,zanzara,magnifico,left,1,mouse,20.0,M,keypress
EXP2,2,exp2_t6,6,judgment,mobilita,gomma,mobilita,left,1,mouse,20.0,M,keypress
EXP2,2,exp2_t7,7,judgment,maniaco,ossessione,ossessione,right,1,mouse,20.0,M,keypress
EXP2,2,exp2_t8,8,judgment,assediato,ferito,assediato,left,1,mouse,20.0,M,keypress
EXP2,2,exp2_t9,9,judgment,brutale,miele,brutale,left,1,mouse,20.0,M,keypress
EXP2,2,exp2_t10,10,judgment,febbre,pino,febbre,left,1,mouse,20.0,M,keypress
EXP2,2,exp2_t11,11,judgment,rancido,insalata,rancido,left,1,mouse,20.0,M,keypress
EXP2,2,exp2_t12,12,judgment,caramella,melodia,melodia,right,1,mouse,20.0,M,keypress
EXP2,2,exp2_t13,13,judgment,cane,cortese,cortese,right,1,mouse,20.0,M,keypress
EXP2,2,exp2_t14,14,judgment,vetro,giustizia,giustizia,right,1,mouse,20.0,M,keypress
EXP2,2,exp2_t15,15,judgment,dollaro,utile,utile,right,1,mouse,20.0,M,keypress
EXP2,2,exp2_t16,16,judgment,natale,albero,natale,left,1,mouse,20.0,M,keypress
EXP2,2,exp2_t17,17,judgment,statua,audace,audace,right,1,mouse,20.0,M,keypress
EXP2,2,exp2_t18,18,judgment,elegante,felpa,elegante,left,1,mouse,20.0,M,keypress
EXP2,2,exp2_t19,19,judgment,pianta,saggio,saggio,right,1,mouse,20.0,M,keypress
EXP2,2,exp2_t20,20,judgment,meraviglia,cornice,meraviglia,left,1,mouse,20.0,M,keypress
EXP2,2,exp2_t21,21,judgment,mercato,vantaggio,vantaggio,right,1,mouse,20.0,M,keypress
EXP2,2,exp2_t22,22,judgment,cappello,rovente,rovente,right,1,mouse,20.0,M,keypress
EXP2,2,exp2_t23,23,judgment,orecchio,disturbare,disturbare,right,1,mouse,20.0,M,keypress
EXP2,2,exp2_t24,24,judgment,prete,devoto,devoto,right,1,mouse,20.0,M,keypress
EXP2,2,exp2_t25,25,judgment,coltello,demonio,demonio,right,1,mouse,20.0,M,keypress
EXP2,2,exp2_t26,26,judgment,cavallo,arte,arte,right,1,mouse,20.0,M,keypress
