experiment,participant_id,trial_id,trial_order,phase_id,stimulus,probe_type,condition,response,accuracy,rt,age,gender,rt_measure
data_DRM,3,recognition_t49,49,recognition,accendere,weakly,new,0,1,1146,28,F,keypress
data_DRM,3,recognition_t51,51,recognition,grafia,weakly,new,0,1,1692,28,F,keypress
data_DRM,3,recognition_t52,52,recognition,studio,weakly,new,0,1,1279,28,F,keypress
data_DRM,3,recognition_t53,53,recognition,comoda,weakly,new,1,0,1797,28,F,keypress
data_DRM,3,recognition_t54,54,recognition,suono,weakly,new,0,1,929,28,F,keypress
data_DRM,3,recognition_t55,55,recognition,chitarra,weakly,new,0,1,1545,28,F,keypress
data_DRM,3,recognition_t56,56,recognition,naso,weakly,new,0,1,1090,28,F,keypress
data_DRM,3,recognition_t57,57,recognition,sciare,weakly,new,0,1,1411,28,F,keypress
data_DRM,3,recognition_t58,58,recognition,colpa,weakly,new,0,1,1128,28,F,keypress
data_DRM,3,recognition_t59,59,recognition,malumore,weakly,new,0,1,1165,28,F,keypress
data_DRM,3,recognition_t60,60,recognition,mondiali,weakly,new,0,1,1511,28,F,keypress
data_DRM,3,recognition_t61,61,recognition,innalzare,weakly,new,0,1,2434,28,F,keypress
data_DRM,3,recognition_t63,63,recognition,carcere,weakly,new,0,1,1928,28,F,keypress
data_DRM,3,recognition_t65,65,recognition,pungere,weakly,new,0,1,2660,28,F,keypress
data_DRM,3,recognition_t66,66,recognition,chilo,weakly,new,0,1,1994,28,F,keypress
data_DRM,3,recognition_t67,67,recognition,coltello,weakly,new,0,1,1577,28,F,keypress
data_DRM,3,recognition_t68,68,recognition,valle,weakly,new,0,1,1295,28,F,keypress
data_DRM,3,recognition_t69,69,recognition,detriti,weakly,new,0,1,1428,28,F,keypress
data_DRM,3,recognition_t70,70,recognition,fobia,weakly,new,0,1,1876,28,F,keypress
data_DRM,3,recognition_t71,71,recognition,nero,weakly,new,0,1,1444,28,F,keypress
data_DRM,3,recognition_t72,72,recognition,sedia,critical,new,0,1,1837,28,F,keypress
data_DRM,3,recognition_t73,73,recognition,rabbia,critical,new,0,1,1127,28,F,keypress
data_DRM,3,recognition_t74,74,recognition,pane,critical,new,0,1,2510,28,F,keypress
data_DRM,3,recognition_t75,75,recognition,freddo,critical,new,0,1,1228,28,F,keypress
data_DRM,3,recognition_t76,76,recognition,bandiera,critical,new,1,0,1129,28,F,keypress
data_DRM,3,recognition_t77,77,recognition,musica,critical,new,0,1,1575,28,F,keypress
data_DRM,3,recognition_t78,78,recognition,ago,critical,new,0,1,1194,28,F,keypress
data_DRM,3,recognition_t80,80,recognition,penna,critical,new,1,0,1239,28,F,keypress
data_DRM,3,recognition_t81,81,recognition,fumo,critical,new,0,1,1112,28,F,keypress
data_DRM,3,recognition_t82,82,recognition,ragno,critical,new,0,1,1478,28,F,keypress
data_DRM,3,recognition_t83,83,recognition,ladro,critical,new,0,1,2477,28,F,keypress
data_DRM,3,recognition_t84,84,recognition,caramella,unrelated,new,0,1,1428,28,F,keypress
data_DRM,3,recognition_t85,85,recognition,desiderio,unrelated,new,0,1,1512,28,F,keypress
data_DRM,3,recognition_t86,86,recognition,denti,unrelated,new,0,1,1761,28,F,keypress
data_DRM,3,recognition_t87,87,recognition,treno,unrelated,new,0,1,2309,28,F,keypress
data_DRM,3,recognition_t88,88,recognition,gigante,unrelated,new,0,1,1627,28,F,keypress
data_DRM,3,recognition_t89,89,recognition,medicina,unrelated,new,0,1,1661,28,F,keypress
data_DRM,3,recognition_t90,90,recognition,bellezza,unrelated,new,0,1,2525,28,F,keypress
data_DRM,3,recognition_t92,92,recognition,monarca,unrelated,new,0,1,1868,28,F,keypress
data_DRM,3,recognition_t93,93,recognition,nuvola,unrelated,new,0,1,1577,28,F,keypress
data_DRM,3,recognition_t94,94,recognition,onore,unrelated,new,0,1,1263,28,F,keypress
data_DRM,3,recognition_t95,95,recognition,scarpa,unrelated,new,0,1,1378,28,F,keypress
data_DRM,4,recognition_t0,0,recognition,pipa,studied,studied,1,1,1168,28,F,keypress
data_DRM,4,recognition_t1,1,recognition,tabacco,studied,studied,1,1,1081,28,F,keypress
data_DRM,4,recognition_t2,2,recognition,nicotina,studied,studied,1,1,959,28,F,keypress
data_DRM,4,recognition_t3,3,recognition,inquinamento,studied,studied,1,1,1298,28,F,keypress
data_DRM,4,recognition_t4,4,recognition,inchiostro,studied,studied,1,1,1080,28,F,keypress
data_DRM,4,recognition_t5,5,recognition,foglio,studied,studied,0,0,1380,28,F,keypress
data_DRM,4,recognition_t6,6,recognition,nera,studied,studied,0,0,1148,28,F,keypress
data_DRM,4,recognition_t7,7,recognition,scuola,studied,studied,1,1,1097,28,F,keypress
data_DRM,4,recognition_t8,8,recognition,tavolo,studied,studied,1,1,1131,28,F,keypress
data_DRM,4,recognition_t9,9,recognition,gambe,studied,studied,0,0,848,28,F,keypress
