uniqSubId,vocabulary_score,spelling_score
Nebraska_03/14/2013_13:41:27_~,0.675,0.695122
Nebraska_03/15/2013_11:55:27_~,0.675,0.743902
Nebraska_03/15/2013_12:16:29_~,0.6,0.621951
Nebraska_03/26/2013_12:51:57_~,0.725,0.841463
Plymouth_02/04/2013_12:21:30_~,0.85,0.695122
Plymouth_02/05/2013_14:33:51_~,0.7,0.634146
Plymouth_02/05/2013_16:02:32_~,0.675,0.780488
Plymouth_02/05/2013_17:14:48_~,0.725,0.792683
Plymouth_02/06/2013_12:21:47_~,0.775,0.731707
Plymouth_02/06/2013_14:21:17_~,0.9,0.707317
Plymouth_02/06/2013_15:18:12_~,0.85,0.804878
Plymouth_02/06/2013_16:18:53_~,0.675,0.804878
Plymouth_02/06/2013_17:26:18_~,0.725,0.829268
Plymouth_02/07/2013_16:00:23_~,0.625,0.707317
Plymouth_02/07/2013_17:14:07_~,0.825,0.902439
Plymouth_02/08/2013_11:49:43_~,0.9,0.817073
Plymouth_02/08/2013_13:00:57_~,0.6,0.829268
Plymouth_02/08/2013_14:12:08_~,0.775,0.768293
Plymouth_02/08/2013_15:03:06_~,0.65,0.719512
Plymouth_02/08/2013_15:54:17_~,0.875,0.95122
Plymouth_02/14/2013_11:57:13_~,0.65,0.804878
Plymouth_02/14/2013_12:55:33_~,0.775,0.731707
Plymouth_02/14/2013_14:59:05_~,0.925,0.682927
Plymouth_02/14/2013_16:00:52_~,0.55,0.719512
Plymouth_02/15/2013_13:03:10_~,0.625,0.670732
Plymouth_02/15/2013_14:55:28_~,0.675,0.817073
Plymouth_02/15/2013_16:17:08_~,0.525,0.54878
Plymouth_02/21/2013_14:52:59_~,0.775,0.768293
Plymouth_02/21/2013_15:54:20_~,0.675,0.634146
Plymouth_02/21/2013_16:52:22_~,0.7,0.597561
Plymouth_02/22/2013_12:33:53_~,0.725,0.829268
Plymouth_02/22/2013_15:31:20_~,0.675,0.573171
RHUL_04/24/2012_14:56:10_1-1,0.725,0.878049
RHUL_04/24/2012_14:58:23_1-2,0.675,0.792683
RHUL_04/24/2012_16:51:13_1-4,0.75,0.52439
RHUL_04/24/2012_16:52:42_1-5,0.725,0.780488
RHUL_04/24/2012_16:53:11_1-3,0.9,0.719512
RHUL_04/25/2012_13:47:01_1-7,0.925,0.743902
RHUL_04/25/2012_13:55:28_1-6,0.675,0.768293
RHUL_04/25/2012_14:57:19_1-8,0.925,0.878049
RHUL_04/25/2012_16:02:51_1-9,0.825,0.890244
RHUL_04/25/2012_16:58:15_1-10,0.625,0.670732
RHUL_04/27/2012_09:55:28_1-11,0.5,0.634146
RHUL_04/27/2012_11:49:40_1-13,0.825,0.658537
RHUL_04/27/2012_11:51:05_1-14,0.75,0.792683
RHUL_04/27/2012_11:51:07_1-12,0.7,0.768293
RHUL_04/27/2012_13:53:07_1-16,0.775,0.768293
RHUL_04/27/2012_13:54:41_1-15,0.775,0.902439
RHUL_05/04/2012_22:33:04_1-22,0.75,0.841463
RHUL_05/05/2012_00:22:28_1-28,0.65,0.841463
RHUL_05/09/2012_02:11:56_2-5,0.9,0.780488
RHUL_05/09/2012_04:15:02_2-8EC,0.75,0.743902
RHUL_05/11/2012_15:55:14_1-18,0.7,0.780488
RHUL_05/11/2012_15:55:35_1-17,0.725,0.768293
RHUL_05/11/2012_16:57:53_1-19,0.875,0.817073
RHUL_05/11/2012_23:05:57_2-11RE,0.675,0.780488
