targetNum,lexStatus,target,prime_cond1,prime_cond2,prime_cond3,prime_cond4,prime_cond5,prime_cond6,prime_cond7,prime_cond8,prime_cond9,prime_cond10,prime_cond11,prime_cond12,prime_cond13,prime_cond14,prime_cond15,prime_cond16,prime_cond17,prime_cond18,prime_cond19,prime_cond20,prime_cond21,prime_cond22,prime_cond23,prime_cond24,prime_cond25,prime_cond26,prime_cond27,prime_cond28
39,1,BREAST,breast,rbeast,bresat,breats,brsaet,bseart,brast,breas,brst,rbaets,astbre,ast,erbtsa,absrte,btsaer,vreast,brcast,breaso,braxst,brygst,brejast,brexqast,bxgmut,ibreast,breasti,brehhast,zxqpun,gholic
40,1,BREATH,breath,rbeath,berath,breaht,brtaeh,btearh,breah,breat,brth,rbaeht,athbre,ath,erbhta,abtrhe,bhtaer,qreath,brekth,breatk,bradth,brngth,brefath,breoxath,bvgkmh,cbreath,breathm,brevvath,nvwiqp,gouncs
41,1,BRIDGE,bridge,rbidge,birdge,brideg,brgdie,bgidre,bidge,bridg,brge,rbdieg,dgebri,bri,irbegd,dbgrei,begdir,yridge,bwidge,bridgl,brlige,brnzge,briqdge,briqzdge,buknqe,tbridge,bridgew,briwwdge,yzwonl,moasty
42,1,BRIGHT,bright,rbight,brihgt,brigth,brhgit,bhigrt,briht,brigh,brht,rbgith,ghtbri,ght,irbthg,gbhrti,bthgir,nright,briyht,brighu,brglht,brdsht,bripght,briavght,bmnudt,ebright,brightu,briaaght,nskpvo,almone
43,1,BROACH,broach,rboach,brocah,broahc,brcaoh,bcoarh,broah,broac,brch,rbaohc,achbro,bro,orbhca,abcrho,bhcaor,yroach,bgoach,broacf,brosah,brqech,brouach,browiach,bkyzsh,xbroach,broache,brottach,kpeyim,sedink
44,1,BRONZE,bronze,rbonze,bornze,bronez,brznoe,bzonre,broze,bronz,brze,rbnoez,nzebro,nze,orbezn,nbzreo,beznor,ironze,bronqe,bronzm,brsoze,bricze,bromnze,browinze,bgfdce,pbronze,bronzec,brouunze,qxsdkt,psalth
45,1,BRUISE,bruise,rbuise,brusie,bruies,biurse,bsuire,bruse,bruis,brse,rbiues,isebru,bru,urbesi,ibsreu,besiur,druise,brugse,bruisd,bukise,brxase,brutise,brujvise,bvkdje,ybruise,bruisen,bruggise,jtydzk,tackon
46,1,BUCKET,bucket,ubcket,bukcet,buckte,buekct,beckut,bcket,bucke,buet,ubkcte,ketbuc,buc,cubtek,kbeutc,btekcu,yucket,buckit,buckeg,buxcet,bujoet,bucsket,bucolket,bjovst,fbucket,bucketa,bucssket,ihnyzl,impars
47,1,BUCKLE,buckle,ubckle,buclke,buckel,bulkce,blckue,bucle,buckl,bule,ubkcel,klebuc,buc,cubelk,kbluec,belkcu,zuckle,bucqle,bucklj,bcnkle,buftle,bucakle,buctnkle,bmdyre,tbuckle,bucklen,bucxxkle,rsdhxw,garion
48,1,BUNDLE,bundle,ubndle,budnle,bundel,bdnule,blndue,bndle,bundl,bule,ubdnel,dlebun,dle,nubeld,dbluen,beldnu,kundle,bundke,bundla,budale,buoale,bunadle,bunoidle,bakoye,wbundle,bundleg,bunoodle,fmicgq,octair
49,1,BUNKER,bunker,ubnker,bnuker,bunkre,bueknr,benkur,buker,bunke,buer,ubknre,kerbun,ker,nubrek,kbeurn,breknu,sunker,buyker,bunkem,bunckr,buhter,bunmker,bunwqker,bpoyzr,fbunker,bunkeri,bunzzker,xatchl,spatch
50,1,BURDEN,burden,ubrden,budren,burdne,buedrn,berdun,brden,burde,buen,ubdrne,denbur,bur,rubned,dbeunr,bnedru,furden,burlen,burdeo,braden,buzpen,bursden,burzmden,bchamn,kburden,burdeno,buraaden,lxmfiq,liscot
51,1,BUSHEL,bushel,ubshel,buhsel,bushle,bhsuel,beshul,buhel,bushe,buel,ubhsle,helbus,hel,subleh,hbeuls,blehsu,qushel,bushfl,bushet,buisel,budiel,buszhel,bustzhel,bfpmil,obushel,bushelq,buspphel,ozjvwy,tagino
52,1,BUSTLE,bustle,ubstle,bsutle,bustel,btsule,blstue,butle,bustl,bule,ubtsel,tlebus,tle,subelt,tblues,beltsu,oustle,bcstle,bustlf,butgle,buiole,busytle,busrhtle,birxhe,abustle,bustlep,busaatle,dkrmva,hocary
53,1,BUTLER,butler,ubtler,btuler,butlre,bltuer,betlur,butlr,butle,buer,ubltre,lerbut,ler,tubrel,lbeurt,breltu,vutler,butjer,butlen,bumter,bugyer,butyler,butvgler,bmvqjr,qbutler,butlerh,butkkler,dvwqfa,gosain
54,1,CANDLE,candle,acndle,cadnle,candel,caldne,clndae,cndle,candl,cale,acdnel,dlecan,dle,naceld,dclaen,celdna,xandle,candye,candlg,cadple,cavfle,canvdle,canuqdle,cbrkve,mcandle,candley,cankkdle,qijyru,smight
55,1,CANOPY,canopy,acnopy,cnaopy,canoyp,conapy,cpnoay,canpy,canop,capy,aconyp,opycan,opy,nacypo,ocpayn,cypona,lanopy,canomy,canopf,cahnpy,cabtpy,cangopy,canilopy,czjrvy,qcanopy,canopyk,canzzopy,jdilmf,squide
56,1,CARBON,carbon,acrbon,carobn,carbno,caobrn,corban,cabon,carbo,caon,acbrno,boncar,bon,racnob,bcoanr,cnobra,farbon,carfon,carbox,cabdon,caxeon,carqbon,carlzbon,cewytn,ycarbon,carboni,caryybon,pdxzml,selthm
57,1,CASINO,casino,acsino,csaino,casion,caniso,cnsiao,casno,casin,cano,acison,inocas,ino,saconi,icnaos,conisa,lasino,caeino,casinw,cairno,caqmno,casvino,casxpino,cbxevo,wcasino,casinow,casrrino,eqvbgz,plurve
58,1,CASKET,casket,acsket,casekt,caskte,caekst,ceskat,caskt,caske,caet,ackste,ketcas,ket,sactek,kceats,cteksa,masket,chsket,caskeu,cakzet,caxget,casrket,casviket,ciygxt,zcasket,casketp,casllket,mxoijy,bumond
59,1,CASTLE,castle,acstle,catsle,castel,caltse,clstae,casle,castl,cale,actsel,tlecas,tle,sacelt,tclaes,celtsa,zastle,castne,castlz,casgte,cagfle,casxtle,casnftle,cjgpve,pcastle,castlep,casjjtle,xkwgdu,fumbin
60,1,CAVERN,cavern,acvern,cvaern,cavenr,carevn,crvean,cavrn,caver,carn,acevnr,erncav,cav,vacnre,ecranv,cnreva,havern,cqvern,caverq,cayvrn,cagdrn,cavbern,cavdfern,ciosyn,wcavern,caverni,cavzzern,jdbzpt,shipod
61,1,CENSOR,censor,ecnsor,cesnor,censro,ceosnr,conser,cesor,censo,ceor,ecsnro,sorcen,cen,necros,scoern,crosne,zensor,ceusor,censot,cetnor,cezuor,cenvsor,cenvxsor,cdhvar,kcensor,censork,cenvvsor,yhiqzj,admilt
62,1,CERVIX,cervix,ecrvix,cevrix,cervxi,ceivrx,cirvex,cerix,cervi,ceix,ecvrxi,vixcer,vix,recxiv,vciexr,cxivre,tervix,cehvix,cervid,crmvix,cehmix,cerhvix,cerdhvix,cfgoux,pcervix,cervixl,ceruuvix,awnzlj,blanth
63,1,CHANGE,change,hcange,chnage,chaneg,cnahge,cganhe,chage,chang,chge,hcnaeg,ngecha,cha,ahcegn,ncghea,cegnah,dhange,chanme,changv,caqnge,chotge,charnge,chalvnge,coxdre,fchange,changei,chazznge,woszym,ruslip
64,1,CHAPEL,chapel,hcapel,cahpel,chaple,chepal,ceaphl,chpel,chape,chel,hcpale,pelcha,pel,ahclep,pcehla,clepah,yhapel,chapol,chapei,chafpl,chvdel,chawpel,chatspel,cknjul,vchapel,chapelk,chayypel,yxbswd,ignots
65,1,CHARGE,charge,hcarge,chagre,chareg,crahge,cgarhe,chrge,charg,chge,hcraeg,rgecha,cha,ahcegr,rcghea,cegrah,iharge,chnrge,chargy,chrbge,chioge,chaxrge,chaborge,cykdue,ncharge,chargel,chauurge,jlbfno,knimpt
66,1,CHORUS,chorus,hcorus,chours,chorsu,crohus,cuorhs,chrus,choru,chus,hcrosu,ruscho,cho,ohcsur,rcuhso,csuroh,zhorus,cnorus,chorut,chjous,chizus,chogrus,cholzrus,cgdabs,vchorus,choruse,chonnrus,ivpqmj,tabiek
67,1,CHROME,chrome,hcrome,chorme,chroem,chmore,cmrohe,crome,chrom,chme,hcorem,omechr,ome,rhcemo,ocmher,cemorh,ghrome,chrsme,chromp,cryome,chkume,chrkome,chraqome,czbyle,pchrome,chromeb,chruuome,tvwqnd,psylux
68,1,CINEMA,cinema,icnema,cniema,cineam,cimena,cmneia,cinma,cinem,cima,icenam,emacin,cin,nicame,ecmian,cameni,linema,ciwema,cinemd,cnfema,cibgma,cinwema,cinrfema,chpbza,bcinema,cinemay,cinssema,jpdzqo,flough
69,1,CITRUS,citrus,ictrus,cirtus,citrsu,crtius,cutris,citrs,citru,cius,icrtsu,ruscit,rus,ticsur,rcuist,csurti,gitrus,cityus,citruk,ctfrus,ciefus,citzrus,citglrus,celbhs,vcitrus,citrusx,citnnrus,kqejvx,valdon
70,1,CLAUSE,clause,lcause,caluse,claues,cualse,csaule,cluse,claus,clse,lcuaes,usecla,cla,alcesu,ucslea,cesual,blause,clapse,claust,clhase,clwrse,claduse,cladwuse,cnjboe,pclause,clauseq,claqquse,pihjro,fingry
71,1,CLERGY,clergy,lcergy,clegry,cleryg,clgrey,cgerly,clegy,clerg,clgy,lcreyg,rgycle,cle,elcygr,rcglye,cygrel,ulergy,cleogy,clerga,clenry,clovgy,cletrgy,cledargy,cqudty,qclergy,clergyt,cleoorgy,mdoazv,smudah
72,1,CLIENT,client,lcient,clinet,clietn,clneit,cnielt,clint,clien,clnt,lceitn,entcli,cli,ilctne,ecnlti,ctneil,slient,clipnt,clienf,clepnt,clbont,clizent,clihdent,cjyxmt,rclient,cliento,clippent,qdhyos,broaky
73,1,CLIMAX,climax,lcimax,cliamx,climxa,cmilax,caimlx,cliax,clima,clax,lcmixa,maxcli,cli,ilcxam,mcalxi,cxamil,elimax,clirax,climau,clihmx,clhjax,clinmax,clivnmax,cdfqnx,dclimax,climaxo,cliuumax,tnszvk,nebort
74,1,CLUMSY,clumsy,lcumsy,clusmy,clumys,clsmuy,csumly,cumsy,clums,clsy,lcmuys,msyclu,clu,ulcysm,mcslyu,cysmul,alumsy,clemsy,clumsa,clkusy,cldxsy,clubmsy,cluwkmsy,cdongy,tclumsy,clumsyd,cluhhmsy,rdavkn,radent
