experiment,participant_id,trial_id,trial_order,phase_id,prime,target,response,response_correct,accuracy,rt,age,gender,hand,rt_measure
semantic_priming,31,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,586.38,27,F,right,keypress
semantic_priming,40,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,801.0,23,F,right,keypress
semantic_priming,37,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,738.645,20,F,right,keypress
semantic_priming,5,exp1_t2,2,judgment,ulivo,acore,1.0,0,0.0,476.775,24,F,right,keypress
semantic_priming,21,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,772.685,24,F,right,keypress
semantic_priming,67,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,786.27,24,M,right,keypress
semantic_priming,17,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,681.04,23,F,right,keypress
semantic_priming,63,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,1200.2900000000002,22,F,right,keypress
semantic_priming,15,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,603.155,23,F,right,keypress
semantic_priming,75,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,550.205,24,F,right,keypress
semantic_priming,46,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,605.075,22,F,right,keypress
semantic_priming,42,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,601.3199999999999,23,M,right,keypress
semantic_priming,72,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,835.0,20,F,right,keypress
semantic_priming,27,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,708.035,22,F,right,keypress
semantic_priming,45,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,696.525,21,F,right,keypress
semantic_priming,57,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,684.0,29,F,right,keypress
semantic_priming,73,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,616.36,21,F,left,keypress
semantic_priming,43,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,613.635,22,M,right,keypress
semantic_priming,13,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,602.04,20,M,right,keypress
semantic_priming,28,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,615.0,24,F,right,keypress
semantic_priming,38,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,1050.035,20,F,right,keypress
semantic_priming,19,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,746.675,20,F,right,keypress
semantic_priming,14,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,650.0,21,M,right,keypress
semantic_priming,65,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,1133.77,35,F,right,keypress
semantic_priming,11,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,1327.48,23,M,right,keypress
semantic_priming,49,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,600.34,21,F,right,keypress
semantic_priming,53,exp1_t2,2,judgment,ulivo,acore,1.0,0,0.0,34.715,25,F,right,keypress
semantic_priming,9,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,901.375,26,F,right,keypress
semantic_priming,61,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,987.07,25,M,right,keypress
semantic_priming,2,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,670.0,27,F,right,keypress
semantic_priming,35,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,787.0,23,M,right,keypress
semantic_priming,30,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,1117.525,27,F,right,keypress
semantic_priming,33,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,683.0,22,M,right,keypress
semantic_priming,1,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,1332.0,21,M,right,keypress
semantic_priming,48,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,971.99,21,F,right,keypress
semantic_priming,52,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,712.0,22,F,right,keypress
semantic_priming,24,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,664.87,22,F,right,keypress
semantic_priming,56,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,574.36,22,M,left,keypress
semantic_priming,71,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,515.085,21,M,right,keypress
semantic_priming,64,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,1450.185,24,M,right,keypress
semantic_priming,74,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,781.66,24,M,right,keypress
semantic_priming,10,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,448.005,23,F,right,keypress
semantic_priming,51,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,887.2900000000001,25,M,right,keypress
semantic_priming,3,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,565.0,21,F,right,keypress
semantic_priming,70,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,782.865,24,F,right,keypress
semantic_priming,69,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,1368.065,24,F,right,keypress
semantic_priming,39,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,575.095,28,F,right,keypress
semantic_priming,50,exp1_t2,2,judgment,ulivo,acore,1.0,0,0.0,537.0,22,F,right,keypress
semantic_priming,12,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,486.76000000000005,23,M,right,keypress
semantic_priming,26,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,868.895,21,F,right,keypress
semantic_priming,25,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,589.92,21,F,right,keypress
semantic_priming,36,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,750.5150000000001,21,M,right,keypress
semantic_priming,62,exp1_t2,2,judgment,ulivo,acore,1.0,0,0.0,798.385,24,M,left,keypress
semantic_priming,6,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,703.4350000000001,30,F,right,keypress
semantic_priming,58,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,1114.4099999999999,33,F,right,keypress
semantic_priming,7,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,666.975,21,F,right,keypress
semantic_priming,68,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,617.4,23,F,right,keypress
semantic_priming,23,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,625.6800000000001,22,M,right,keypress
semantic_priming,47,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,664.87,22,F,right,keypress
