participant_id,trial_order,cue_id,stimulus,response1,response2,response3,response4,response5,response6,response7,response8,response9,response10,response11,response12,response13,response14,response15,response16,response17,response18,response19,response20,first_key_RT1,first_key_RT2,first_key_RT3,first_key_RT4,first_key_RT5,first_key_RT6,first_key_RT7,first_key_RT8,first_key_RT9,first_key_RT10,first_key_RT11,first_key_RT12,first_key_RT13,first_key_RT14,first_key_RT15,first_key_RT16,first_key_RT17,first_key_RT18,first_key_RT19,first_key_RT20
5,6,13,GEM,JEWEL,DIAMOND,RUBY,EMERALD,SAPPHIRE,VALUABLE,RING,NECKLACE,TIARA,WEALTH,VALUED,GARNET,OPAL,LAPIS,CRAFTSMANSHIP,MONEY,MINING,CHILD LABOR,WORK,CRAFTSMANSHIP,2438.8,1887.2,6079.9,1893.6,3104.9,2713.6,4389.6,2597.9,2369.0,4371.5,6910.6,13868.1,11701.5,3757.1,9734.7,6501.5,4542.0,4777.7,3310.4,3262.7
5,7,23,MOUNTAIN,PEAK,VALLEY,CLIMBING,WALKING,SCENERY,DANGER,SNOW,ICE,GLACIERS,CAMPING,TREK,GORGE,CLIFF,PRECIPICE,RESCUE,HI,COLD,WINDY,BASE JUMPING,PARAGLIDING,2979.8,1701.4,2130.9,2290.7,2082.6,2872.6,2338.6,1934.3,2550.4,7624.4,1921.5,6754.5,3223.2,2449.9,7719.4,5534.9,2314.9,8160.1,4676.6,2745.3
5,8,26,PASTA,FOOD,SPAGHETTI,DINNER,BOLOGNESE,SAUCE,PENNE,MACARONI,WHEAT,COOKING,KITCHEN,DINNER,CANNED,ITALY,RESTAURANT,OLIVES,,,,,,3020.2,2167.2,1933.6,2800.5,2606.5,6675.0,2268.2,1845.7,2310.6,2240.6,1538.3,5849.2,5219.6,2166.2,4630.0,,,,,
5,9,27,PEACOCK,BIRD,FEATHERS,BEAUTY,COLOR,PRIDE,DISPLAY,MAIL,FEMALE,,,,,,,,,,,,,2452.5,2390.8,4257.0,1962.1,2024.8,2367.8,10744.6,1984.6,,,,,,,,,,,,
5,10,28,PUKE,SICK,ILL,UNPLEASANT,DISGUSTING,ALCOHOL,DRUNK,ILLNESS,FEVER,SEASICK,MOTION,PALE,HORRID,SWEATY,UNCONSCIOUS,HORIZONTAL,TOILET,BAD,DISLIKE,AWFUL,,2230.2,1719.1,2741.2,2538.8,4780.9,1813.8,6319.2,4251.2,6202.9,3194.7,8230.1,5734.5,3783.5,6688.4,7788.2,2137.5,3361.6,5414.8,11041.4,
6,1,1,ALPHABET,LETTERS,WORDS,SPAGHETTI,SENTENCES,RHYME,CHILDREN,LEARNING,READING,WRITING,LANGUAGES,TWENTY SIX,PHONETICS,UNDERSTANDING,LISTS,ENGLISH,MATHS EQUATIONS,ALGEBRA,KISS,INITIALS,CAPITALS,971.1,3071.2,3089.3,2368.6,1088.5,1232.3,2081.5,1537.3,3183.6,1676.0,3375.7,5578.7,6300.0,4399.7,6345.3,13080.1,2665.5,6147.0,14607.7,4208.3
6,2,3,CANNONBALL,WAR,FIGHTING,HARD,METAL,DESTROY,BOMB,FIRING,ARMY,CANNON,SHOOTING,KILL,ENEMY,DISPLAY,SECURITY,DEFENSE,HARM,INJURY,SOLDIERS,ALIGHT,HARM,1018.5,592.5,1447.4,688.6,784.7,1867.8,2816.5,2304.3,2936.9,2248.1,472.9,999.5,1489.0,3424.1,2126.2,4641.4,825.0,1153.1,1993.2,4904.0
6,3,4,COUPON,VOUCHER,DISCOUNT,MONEY,PRESENT,GIFT,STORE,ONLINE,CLOTHING,FOOD,MONEY,ELECTRONIC,PAPER,LOYALTY,AWARD,CUSTOMER,REDUCTION,VOUCHER,REWARD,HIGH STREET,SHOPPING,1043.4,1136.7,3435.5,1408.2,464.6,752.7,1328.0,1497.0,729.2,2156.5,5207.3,944.9,4128.8,826.4,4761.6,3824.9,11992.7,5480.4,6255.2,2352.0
6,4,5,CUDDLE,HUG,GENTLE,WARM,EMOTIONAL,UPSET,HAPPY,BIG,SQUEEZE,BETTER,ILL,CARE,LOVE,WANT,KISS,NEED,CRYING,ALONE,PEOPLE,ANIMALS,BABY,1108.0,2093.2,878.5,915.9,926.0,698.6,3178.8,5987.7,2627.5,1058.9,1363.5,332.0,5355.7,4462.6,13722.3,3428.6,3634.6,1995.1,842.9,4052.3
6,5,8,ENAMEL,PAINT,GLOSS,EMULSION,NAIL,VARNISH,PROTECTION,COLORS,CHIPPED,SCRAPE,CAR,HARD,SETTING,SMOOTH,BRUSH,SMELL,TOXIC,HARDWEAR,,,,1011.7,776.0,1783.3,2504.9,368.1,4331.0,2288.3,2863.7,3872.2,2695.5,13416.3,2374.6,8559.7,5871.4,3838.6,1431.9,18650.4,,,
6,6,13,GEM,JEWEL,RICH,COLORFUL,STONE,NECKLACE,RING,BIRTHSTONE,PERSONAL,SPIRITUAL,CHAKRA,MEDITATION,PRESENT,GIFT,MEANINGFUL,DIAMOND,RUBY,QUARTZ,JADE,PEARL,RUBY,1739.5,836.1,903.7,2082.7,3705.5,6824.4,2296.2,4095.0,1585.0,5401.5,8104.3,8687.5,2512.0,6903.0,10177.9,1488.1,13976.4,3201.2,4905.7,11903.2
6,7,23,MOUNTAIN,HILL,COUNTRY,EVEREST,COLD,MASSIVE,SMALL,POINTED,FLAT,CLIMBING,HIKE,CHALLENGE,PEAK,SNOW,COUNTRYSIDE,FAMOUS,BOOTS,CLOTHING,AIR,TEMPERATURE,PROTECTION,810.9,631.8,3136.7,9471.4,3087.0,537.1,2794.7,748.1,2936.4,663.9,1519.9,777.0,3008.8,4911.1,4225.8,13159.8,2930.3,1760.0,375.3,4824.8
6,8,26,PASTA,FOOD,ITALY,RESTAURANT,MEAL,DISH,SAUCE,TOMATO,MEAT,SPAGHETTI,,,,,,,,,,,,1156.1,562.1,520.4,960.4,959.5,416.9,1649.1,2280.8,1471.9,,,,,,,,,,,
