experiment,participant_id,trial_label,trial_order,phase_id,stimulus,target_word,response,emotion,rt,age,gender,rt_measure
martineztomas2026_discrete_emotionality_exp2,exp2_7,exp2_t0,0,word_decoding,bailetín,carnaval,bailarín,happiness,5779,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_7,exp2_t1,1,word_decoding,desabete,censura,debate,disgust,3450,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_7,exp2_t2,2,word_decoding,landado,enfadado,lantano,anger,3545,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_7,exp2_t3,3,word_decoding,descín,ruina,desdén,sadness,6476,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_7,exp2_t4,4,word_decoding,puntiaguja,espada,puntiaguda,fear,6364,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_7,exp2_t5,5,word_decoding,clespiente,veneno,serpiente,fear,8834,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_7,exp2_t6,6,word_decoding,furieta,rabia,furia,anger,7258,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_7,exp2_t7,7,word_decoding,bendigolo,mendigo,mendigo,sadness,4760,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_7,exp2_t8,8,word_decoding,distantación,lejanía,distancia,sadness,5017,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_7,exp2_t9,9,word_decoding,chismolo,rumor,chisme,anger,6314,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_7,exp2_t10,10,word_decoding,residuera,basura,residuo,disgust,4855,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_7,exp2_t11,11,word_decoding,dastro,intruso,astro,fear,5868,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_7,exp2_t12,12,word_decoding,fiminos,piojos,femenino,disgust,3640,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_7,exp2_t13,13,word_decoding,frórico,eufórico,fólico,happiness,4748,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_7,exp2_t14,14,word_decoding,argola,pistola,angola,fear,4232,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_7,exp2_t15,15,word_decoding,queranza,añoranza,querer,sadness,5935,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_7,exp2_t16,16,word_decoding,flastación,visión,aplastar,happiness,6118,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_7,exp2_t17,17,word_decoding,enjauladero,prisión,jaula,fear,3503,18,male,keypress
