participant_id;stimulus;response;accuracy;rt;trial_order;age
30;arancionista;2;1;404;101;31
30;direttore;2;0;386;102;31
30;roseria;2;1;869;103;31
30;bluzione;2;1;621;104;31
30;verdemento;2;1;479;105;31
30;prezioso;2;0;407;106;31
30;batteria;2;0;467;107;31
30;miseria;1;1;500;108;31
30;bianchiere;2;1;705;109;31
30;rosazione;2;1;583;110;31
30;segreteria;1;1;572;111;31
30;arancionezione;2;1;547;112;31
30;arancionoso;2;1;543;113;31
30;verdoso;1;0;601;114;31
30;biancabile;2;1;620;115;31
30;giallozione;2;1;523;116;31
30;bluoso;2;1;510;117;31
30;verdiere;2;1;441;118;31
30;arancionemento;2;1;501;119;31
30;scegliere;1;1;476;120;31
30;cambiamento;1;1;472;121;31
30;riconoscimento;1;1;594;122;31
30;pazienza;1;1;448;123;31
30;rosezza;2;1;500;124;31
30;adorabile;1;1;486;125;31
30;rosista;2;1;507;126;31
30;biancotore;2;1;521;127;31
30;terrorismo;1;1;669;128;31
30;eufemismo;2;0;654;129;31
30;imperatore;1;1;991;130;31
30;dolcezza;1;1;1042;131;31
30;bluzione;2;1;688;132;31
30;roseria;2;1;592;133;31
30;arancioneria;2;1;541;134;31
30;bluezza;2;1;419;135;31
30;operazione;1;1;523;136;31
30;blutore;2;1;582;137;31
30;materia;1;1;484;138;31
30;bluenza;2;1;576;139;31
30;biancoso;2;1;498;140;31
30;affidabile;1;1;564;141;31
30;rosiere;2;1;527;142;31
30;giallotore;2;1;484;143;31
30;dentista;1;1;462;144;31
30;preoccupazione;1;1;469;145;31
30;verdetore;2;1;427;146;31
30;giallotore;1;0;573;147;31
30;arancionezza;2;1;587;148;31
30;umorismo;1;1;605;149;31
30;rosista;2;1;477;150;31
30;bluabile;2;1;506;151;31
30;rososo;2;1;464;152;31
30;blueria;2;1;438;153;31
30;biancozione;2;1;449;154;31
30;rosamento;2;1;413;155;31
30;arancionoso;2;1;374;156;31
30;arancionemento;2;1;403;157;31
30;giornalista;2;0;399;158;31
