participant_id,age,gender,education,handedness,session_id,trial_id,condition,stimulus,stimulus_translation,accuracy,rt,rt_measure
11,26,female,16,right,1,naming_11_1_0462,word_naming,PASTA,pasta,1,469,voice_onset
11,26,female,16,right,1,naming_11_1_0463,word_naming,GIARDINO,garden,1,478,voice_onset
11,26,female,16,right,1,naming_11_1_0464,word_naming,LITIGIO,quarrel,1,849,voice_onset
11,26,female,16,right,1,naming_11_1_0465,word_naming,STRITOLARE,mangle,1,517,voice_onset
11,26,female,16,right,1,naming_11_1_0466,word_naming,SCORIE,waste,1,239,voice_onset
11,26,female,16,right,1,naming_11_1_0467,word_naming,FISCHIO,whistle,1,615,voice_onset
11,26,female,16,right,1,naming_11_1_0468,word_naming,STUPRO,rape,1,445,voice_onset
11,26,female,16,right,1,naming_11_1_0469,word_naming,ARIA,air,1,472,voice_onset
11,26,female,16,right,1,naming_11_1_0470,word_naming,TERMITE,termite,1,531,voice_onset
11,26,female,16,right,1,naming_11_1_0471,word_naming,UFFICIO,office,1,796,voice_onset
11,26,female,16,right,1,naming_11_1_0472,word_naming,METODO,method,1,486,voice_onset
11,26,female,16,right,1,naming_11_1_0473,word_naming,ACCOGLIENTE,cozy,1,487,voice_onset
11,26,female,16,right,1,naming_11_1_0474,word_naming,TRADIRE,betray,1,540,voice_onset
11,26,female,16,right,1,naming_11_1_0475,word_naming,FRIGIDO,frigid,1,615,voice_onset
11,26,female,16,right,1,naming_11_1_0476,word_naming,SNOB,snob,1,498,voice_onset
11,26,female,16,right,1,naming_11_1_0477,word_naming,FIDUCIOSO,confident,1,727,voice_onset
11,26,female,16,right,1,naming_11_1_0478,word_naming,FETORE,stench,1,805,voice_onset
11,26,female,16,right,1,naming_11_1_0479,word_naming,RUVIDO,rough,1,284,voice_onset
11,26,female,16,right,1,naming_11_1_0480,word_naming,RADIO,radio,1,507,voice_onset
11,26,female,16,right,1,naming_11_1_0481,word_naming,CICLONE,cyclone,1,539,voice_onset
11,26,female,16,right,1,naming_11_1_0482,word_naming,COLPIRE,hit,1,541,voice_onset
11,26,female,16,right,1,naming_11_1_0483,word_naming,VULCANO,volcano,1,780,voice_onset
11,26,female,16,right,1,naming_11_1_0484,word_naming,SCOOTER,scooter,1,453,voice_onset
11,26,female,16,right,1,naming_11_1_0485,word_naming,CONOSCENZA,knowledge,1,711,voice_onset
11,26,female,16,right,1,naming_11_1_0486,word_naming,AVVERSIONE,hatred,1,540,voice_onset
